Rank,Player Name,Position,Team,Bye Week,Best Rank,Worst Rank,Avg Rank,ADP,selected
90,Ryan Tannehill,QB11,MIA,5,52,131,90.18,91,NO
95,Pierre Garcon,WR41,WAS,8,54,162,94.09,108,NO
105,Philip Rivers,QB14,SD,10,77,156,108.34,111,NO
74,Tony Romo,QB9,DAL,6,53,149,77.26,84,YES
69,Matt Ryan,QB7,ATL,10,40,97,69.06,75,NO
104,Tom Brady,QB13,NE,4,53,156,105.34,90,NO
103,Reggie Bush,RB37,SF,10,43,168,104.14,118,NO
108,Bishop Sankey,RB40,TEN,4,70,175,111.71,95,NO
140,Alfred Blue,RB48,HOU,9,70,199,127.7,117,NO
83,Devonta Freeman,RB33,ATL,10,59,135,90.56,93,NO
121,Roy Helu,RB44,OAK,6,88,191,122.76,143,NO
89,Delanie Walker,TE8,TEN,4,63,155,92.83,116,NO
97,Julius Thomas,TE9,JAC,8,73,144,97.89,82,NO
109,Tyler Eifert,TE11,CIN,7,70,160,111.94,130,NO
101,Zach Ertz,TE10,PHI,8,66,156,101.63,85,NO
98,Mathew Stafford,QB12,DET,9,44,137,98.51,89,NO
131,Sam Bradford,QB15,PHI,8,76,193,128.67,128,NO
72,Breshad Perriman,WR47,BAL,9,66,178,113.07,110,NO
177,Devin Funchess,WR63,CAR,5,100,191,164.42,157,NO
148,Devante Parker,WR55,MIA,5,81,195,139.81,119,NO
110,Michael Floyd,WR45,ARI,9,70,184,109.7,100,NO
102,Arian Foster,RB36,HOU,9,15,178,99.94,52,NO
86,Jason Witten,TE6,DAL,6,70,114,92.29,106,NO
106,Danny Woodhead,RB38,SD,10,35,149,94.7,115,NO
132,Steve Johnson,WR51,SD,10,77,195,124.39,144,NO
139,Brian Quick,WR52,STL,6,91,192,132.38,155,NO
157,Kevin White,WR59,CHI,7,69,168,112,88,NO
112,Victor Cruz,WR46,NYG,11,60,180,117.09,87,NO
190,Dorial Green-Beckham,WR67,TEN,4,128,203,173.79,156,NO
150,Knile Davis,RB51,KC,9,106,193,147.67,123,NO
151,Terrance Williams,WR56,DAL,6,118,178,144.86,120,NO
128,Rueben Randle,WR49,NYG,11,54,163,124.07,160,NO
163,Jay Cutler,QB20,CHI,7,111,196,155.26,165,NO
120,Dwayne Allen,TE16,IND,10,94,189,127,141,NO
161,Marvin Jones,WR61,CIN,7,94,196,152.38,167,NO
114,Kyle Rudolph,TE12,MIN,5,27,163,119.23,147,NO
96,Marques Colston,WR42,NO,11,65,156,97.8,112,YES
160,Doug Baldwin,WR60,SEA,9,106,181,150.58,170,NO
149,Joe Flacco,QB18,BAL,9,91,191,147.03,140,NO
143,Kenny Stills,WR53,MIA,5,101,186,134.72,134,NO
123,Owen Daniels,TE17,DEN,7,70,200,126.91,133,YES
124,Eddie Royal,WR48,CHI,7,47,180,118.1,153,NO
153,Dwayne Bowe,WR57,CLE,11,91,193,141.92,187,NO
125,Antonio Gates,TE18,SD,10,92,185,130.97,137,NO
118,Austin Seferian-Jenkins,TE14,TB,6,92,159,124.03,139,NO
167,Andy Dalton,QB21,CIN,7,125,262,163.25,169,NO
116,Heath Miller,TE13,PIT,11,92,152,124.97,206,NO
154,Carson Palmer,QB19,ARI,9,113,200,149.93,159,NO
134,Colin Kaepernick,QB16,SF,10,84,192,135.13,132,NO
138,Teddy Bridgewater,QB17,MIN,5,93,186,141.59,129,NO
232,Benjamin Watson,TE34,NO,11,137,294,213.17,299,NO
119,Larry Donnell,TE15,NYG,11,93,163,124.38,176,NO
176,Malcom Floyd,WR62,SD,10,123,198,163.58,229,NO
206,Alex Smith,QB25,KC,9,130,240,177.38,218,NO
185,Jameis Winston,QB22,TB,6,132,201,161.21,158,NO
174,Matt Jones,RB59,WAS,8,83,193,155,179,NO
115,Charles Sims,RB43,TB,6,58,175,114.64,124,NO
164,Jerick McKinnon,RB53,MIN,5,117,244,155.85,182,NO
196,Cecil Shorts,WR71,HOU,9,112,257,175.93,273,NO
195,Kenny Britt,WR70,STL,6,133,198,169.87,199,NO
144,Vernon Davis,TE22,SF,10,84,191,141.72,166,NO
142,Jordan Reed,TE21,WAS,8,70,224,134.41,161,NO
179,Montee Ball,RB61,DEN,7,73,200,163.78,149,NO
212,Markus Wheaton,WR74,PIT,11,140,204,178.67,150,NO
156,Percy Harvin,WR58,BUF,8,76,196,145.38,135,NO
147,Michael Crabtree,WR54,OAK,6,63,167,139.67,138,NO
137,Charles Clay,TE20,BUF,8,93,177,138.61,197,NO
216,Cole Beasley,WR75,DAL,6,157,265,194.33,243,NO
219,Phillip Dorsett,WR76,IND,10,110,256,189.86,171,NO
200,Robert Griffin III,QB24,WAS,8,98,199,174.47,211,NO
186,Donte Moncrief,WR65,IND,10,108,205,170.33,178,NO
198,Marcus Mariota,QB23,TEN,4,125,194,165.33,172,NO
175,Lance Dunbar,RB60,DAL,6,80,222,143.79,231,NO
135,Darren Sproles,RB47,PHI,8,80,184,133.42,125,NO
162,Eric Ebron,TE25,DET,9,99,187,148.54,162,NO
166,Jared Cook,TE26,STL,6,95,223,157.5,189,NO
155,Ladarius Green,TE24,SD,10,107,201,146.93,168,NO
152,Coby Fleener,TE23,IND,10,86,194,146.97,142,NO
172,Chris Polk,RB58,HOU,9,64,254,148.19,173,NO
189,DeAngelo Williams,RB64,PIT,11,121,233,176.37,145,NO
193,Allen Hurns,WR69,JAC,8,43,198,164.46,262,NO
197,Khiry Robinson,RB66,NO,11,115,194,161.91,268,NO
180,Daniel Herron,RB62,IND,10,124,228,167.74,185,NO
171,Terrance West,RB57,CLE,11,94,210,160.55,208,NO
188,Maxx Williams,TE29,BAL,9,127,243,168.2,221,NO
192,Nick Toon,WR68,NO,11,126,195,164.71,258,NO
201,Marqise Lee,WR72,JAC,8,115,270,177.46,207,NO
243,Albert Wilson,WR83,KC,9,154,276,202.6,0,NO
241,Greg Jennings,WR82,MIA,5,168,206,187.6,280,NO
207,Stedman Bailey,WR73,STL,6,72,287,180.36,228,NO
224,Richard Rodgers,TE32,GB,7,169,227,192.75,234,NO
217,Blake Bortles,QB27,JAC,8,135,241,184,198,NO
215,Derek Carr,QB26,OAK,6,136,242,181.75,184,NO
165,Andre Williams,RB54,NYG,11,103,237,158.44,136,NO
181,Jace Amaro,TE28,NYJ,5,127,190,168.65,247,NO
230,Jonathan Grimes,RB77,HOU,9,150,288,196,0,NO
228,Jacob Tamme,TE33,ATL,10,160,239,195.29,312,NO
246,Damien Williams,RB81,MIA,5,149,190,169.5,327,NO
127,Josh Hill,TE19,NO,11,75,176,128.16,146,NO
191,Theo Riddick,RB65,DET,9,109,251,173.47,220,NO
122,Seattle Seahawks,DST1,SEA,9,112,146,128.71,109,NO
126,David Cobb,RB45,TEN,4,83,229,129.79,131,NO
130,David Johnson,RB46,ARI,9,94,183,132.06,121,NO
133,Buffalo Bills,DST2,BUF,8,114,153,138.06,122,NO
136,St. Louis Rams,DST3,STL,6,122,161,141.37,127,NO
141,Houston Texans,DST4,HOU,9,120,172,143.18,126,NO
146,Fred Jackson,RB50,BUF,8,108,185,140,174,NO
158,Jay Ajayi,RB52,MIA,5,103,213,152.57,154,NO
159,Arizona Cardinals,DST5,ARI,9,126,208,159.09,152,NO
168,New England Patriots,DST6,NE,4,128,198,166.85,212,NO
169,James White,RB55,NE,4,88,300,155.33,180,NO
170,Denard Robinson,RB56,JAC,8,106,246,162.73,194,NO
173,Denver Broncos,DST7,DEN,7,121,199,165.4,175,NO
178,Mychal Rivera,TE27,OAK,6,70,244,161.94,213,NO
182,Carolina Panthers,DST8,CAR,5,136,228,173.32,188,NO
183,Cody Latimer,WR64,DEN,7,119,207,169.74,164,NO
184,Javorius Allen,RB63,BAL,9,90,240,163.43,214,NO
187,Andrew Hawkins,WR66,CLE,11,116,245,167.87,303,NO
194,New York Jets,DST9,NYJ,5,138,197,171.75,148,NO
199,Rob Housler,TE30,CLE,11,123,253,176.85,267,NO
202,Jonas Gray,RB67,NE,4,104,212,163.1,181,NO
203,Miami Dolphins,DST10,MIA,5,151,200,174.21,163,NO
204,Lorenzo Taliaferro,RB68,BAL,9,132,213,177.6,204,NO
205,Cameron Artis-Payne,RB69,CAR,5,126,231,174.5,186,NO
208,Baltimore Ravens,DST11,BAL,9,147,200,179.75,219,NO
209,Stevan Ridley,RB70,NYJ,5,124,233,175.82,226,NO
210,Green Bay Packers,DST12,GB,7,145,225,185.78,183,NO
211,Bilal Powell,RB71,NYJ,5,123,249,178,336,NO
213,James Starks,RB72,GB,7,126,217,181.1,210,NO
214,Ronnie Hillman,RB73,DEN,7,135,260,181.5,236,NO
218,Cincinnati Bengals,DST13,CIN,7,146,247,186.29,232,NO
220,Jaelen Strong,WR77,HOU,9,158,199,182,217,NO
221,Virgil Green,TE31,DEN,7,150,194,168,272,NO
222,Kansas City Chiefs,DST14,KC,9,153,207,185.5,222,NO
223,Trent Richardson,RB74,OAK,6,118,200,160,266,NO
225,Branden Oliver,RB75,SD,10,147,250,188.2,209,NO
226,Benny Cunningham,RB76,STL,6,125,259,194,316,NO
227,Nick Foles,QB28,STL,6,138,263,191.2,225,NO
229,Marquess Wilson,WR78,CHI,7,157,273,193.4,276,NO
231,Toby Gerhart,RB78,JAC,8,167,287,210.5,200,NO
233,Detroit Lions,DST15,DET,9,165,214,183.2,264,NO
234,Philadelphia Eagles,DST16,PHI,8,152,226,185.8,201,NO
235,Karlos Williams,RB79,BUF,8,135,183,159,265,NO
236,Jeremy Langford,RB80,CHI,7,131,253,190.67,237,NO
237,Kamar Aiken,WR79,BAL,9,153,275,199.67,295,NO
238,Danny Amendola,WR80,NE,4,170,197,187.67,308,NO
239,Stephen Gostkowski,K1,NE,4,149,198,175,151,YES
240,Jarius Wright,WR81,MIN,5,130,273,200,328,NO
242,San Francisco 49ers,DST17,SF,10,154,293,212.25,307,NO
244,Harry Douglas,WR84,TEN,4,158,248,202.75,284,NO
245,Geno Smith,QB29,NYJ,5,137,250,193.5,279,NO
247,Adam Vinatieri,K2,IND,10,154,200,180,177,NO
248,Matt Cassel,QB30,BUF,8,139,236,187.5,0,NO
249,Johnny Manziel,QB31,CLE,11,140,255,197.5,320,NO
250,Ryan Fitzpatrick,QB32,NYJ,5,141,282,213,332,NO
251,Steven Hauschka,K3,SEA,9,155,199,181,191,NO
252,Josh McCown,QB33,CLE,11,142,283,217,322,NO
268,Brandon Coleman,WR92,NO,11,173,282,213.33,261,NO
253,Josh Huff,WR85,PHI,8,174,222,197.5,270,NO
254,Mark Sanchez,QB34,PHI,8,143,298,220.5,329,NO
255,Brian Hartline,WR86,CLE,11,159,281,208.5,241,NO
256,E.J. Manuel,QB35,BUF,8,144,283,213.5,0,NO
257,Mohamed Sanu,WR87,CIN,7,172,255,200.75,193,NO
258,De'Anthony Thomas,RB82,KC,9,173,280,224,302,NO
259,Dexter McCluster,WR88,TEN,4,174,232,195,0,NO
260,Mason Crosby,K4,GB,7,156,205,184.67,192,NO
261,Justin Tucker,K5,BAL,9,159,197,183.33,202,NO
262,Cody Parkey,K6,PHI,8,152,201,183.67,205,NO
263,Connor Barth,K7,DEN,7,153,204,184.67,239,NO
264,Taylor Gabriel,WR89,CLE,11,159,241,199.25,351,NO
265,Dan Bailey,K8,DAL,6,157,202,184.67,190,NO
266,Cordarrelle Patterson,WR90,MIN,5,173,238,206.5,224,NO
290,Josh Robinson,RB88,IND,10,192,217,202.33,269,NO
267,Robert Woods,WR91,BUF,8,175,224,200,281,NO
269,Matt Bryant,K9,ATL,10,158,210,191.33,238,NO
270,Blair Walsh,K10,MIN,5,160,229,198.67,246,NO
271,Robert Turbin,RB83,SEA,9,180,268,224.25,260,NO
272,Travaris Cadet,RB84,NE,4,186,231,199.5,278,NO
273,Antone Smith,RB85,ATL,10,180,284,227.75,300,NO
274,Scott Chandler,TE35,NE,4,183,184,183.5,305,NO
275,Zac Stacy,RB86,NYJ,5,186,196,189.67,285,NO
276,Indianapolis Colts,DST18,IND,10,183,292,220.33,230,NO
277,Matt Asiata,RB87,MIN,5,170,278,224,223,NO
278,Garrett Graham,TE36,HOU,9,171,223,197,342,NO
279,Tavon Austin,WR93,STL,6,176,278,226.75,249,NO
280,Justin Hunter,WR94,TEN,4,179,247,208.33,274,NO
281,Jeremy Kerley,WR95,NYJ,5,181,254,217.5,0,NO
282,Cleveland Browns,DST19,CLE,11,182,234,215,282,NO
283,Minnesota Vikings,DST20,MIN,5,183,251,217,233,NO
284,Pittsburgh Steelers,DST21,PIT,11,184,264,224,317,NO
285,Dallas Cowboys,DST22,DAL,6,185,215,200,195,NO
286,Tyler Lockett,WR96,SEA,9,187,262,217.33,259,NO
287,New York Giants,DST23,NYG,11,187,257,222,311,NO
288,San Diego Chargers,DST24,SD,10,188,292,240,350,NO
289,Jacksonville Jaguars,DST25,JAC,8,189,291,251.67,339,NO
291,Tampa Bay Buccaneers,DST26,TB,6,190,259,224.5,345,NO
292,Tennessee Titans,DST27,TEN,4,191,297,244,325,NO
293,Atlanta Falcons,DST28,ATL,10,193,288,240.5,314,NO
294,Chris Conley,WR97,KC,9,194,289,241.5,287,NO
295,Chicago Bears,DST29,CHI,7,194,279,236.5,271,NO
296,Clive Walford,TE37,OAK,6,195,284,228,291,NO
297,Jermaine Kearse,WR98,SEA,9,197,235,217.67,352,NO
298,Garrett Hartley,K11,PIT,11,203,299,251,257,NO
299,Matt Prater,K12,DET,9,208,269,232,244,NO
300,Chandler Catanzaro,K13,ARI,9,209,270,246.33,248,NO
301,Nick Novak,K14,SD,10,210,271,241,251,NO
302,Phil Dawson,K15,SF,10,212,277,253.67,293,NO
303,Dan Carpenter,K16,BUF,8,213,295,263,255,NO
304,Caleb Sturgis,K17,MIA,5,214,297,254.33,301,NO
305,Dustin Hopkins,K18,NO,11,215,294,255.67,0,NO
306,Graham Gano,K19,CAR,5,216,265,240.5,340,NO
307,Randy Bullock,K20,HOU,9,217,296,267.67,289,NO
308,Josh Brown,K21,NYG,11,218,248,233,335,NO
309,Mike Nugent,K22,CIN,7,219,298,262.67,0,NO
310,Greg Zuerlein,K23,STL,6,220,299,268.33,250,NO
311,Cairo Santos,K24,KC,9,223,296,259.5,0,NO
312,Nate Washington,WR99,HOU,9,238,268,253,0,NO
313,Andre Roberts,WR100,WAS,8,245,266,255.5,0,NO
314,Rod Streater,WR101,OAK,6,264,285,274.5,0,NO
